Station,ID,Bikes Available,Docks Available
"Pembridge Villas, Notting Hill",BikePoints_337,3,13
"Wellington Street , Strand",BikePoints_338,21,0
"Risinghill Street, Angel",BikePoints_339,5,16
"Bank of England Museum, Bank",BikePoints_340,12,3
"Craven Street, Strand",BikePoints_341,10,7
"London Zoo Car Park, The Regent's Park",BikePoints_343,5,31
"Goswell Road (City Uni), Finsbury",BikePoints_344,6,11
"Flood Street, Chelsea",BikePoints_345,24,6
"Lower Marsh, Waterloo",BikePoints_347,16,0
"Grosvenor Square, Mayfair",BikePoints_348,7,9
"St. George Street, Mayfair",BikePoints_349,16,1
"Queen's Gate, Kensington Gardens",BikePoints_350,9,10
"Macclesfield Rd, St Lukes",BikePoints_351,0,28
"Vauxhall Street, Vauxhall",BikePoints_352,11,7
"Greycoat Street , Westminster",BikePoints_353,11,6
"Northumberland Avenue, Strand",BikePoints_354,16,21
"Clapham Common Station, Clapham Common",BikePoints_355,14,6
"South Kensington Station, South Kensington",BikePoints_356,10,3
"Howland Street, Fitzrovia",BikePoints_357,25,2
"High Holborn , Covent Garden",BikePoints_358,19,0
"Butler Place, Westminster",BikePoints_359,12,5
"Howick Place, Westminster",BikePoints_360,25,2
"Waterloo Station 2, Waterloo",BikePoints_361,0,48
"Royal College Street, Camden Town",BikePoints_362,3,52
"Lord's, St. John's Wood",BikePoints_363,0,24
"Store Street, Bloomsbury",BikePoints_364,26,6
"City Road, Angel",BikePoints_365,26,21
"Millennium Hotel, Mayfair",BikePoints_366,18,9
"Harrowby Street, Marylebone",BikePoints_367,1,15
"Harriet Street, Knightsbridge",BikePoints_368,7,18
"Paddington Green, Paddington",BikePoints_370,2,16
"King Edward Walk, Waterloo",BikePoints_371,12,10
"Sardinia Street, Holborn",BikePoints_372,5,18
"Prince Consort Road, Knightsbridge",BikePoints_373,11,7
"Waterloo Station 1, Waterloo",BikePoints_374,19,13
"Kensington Town Hall, Kensington",BikePoints_375,12,5
"Millbank Tower, Pimlico",BikePoints_376,13,11
"Waterloo Bridge, South Bank",BikePoints_377,6,9
"Natural History Museum, South Kensington",BikePoints_378,24,18
"Turquoise Island, Notting Hill",BikePoints_379,4,17
"Stanhope Gate, Mayfair",BikePoints_380,13,8
"Charlotte Street, Fitzrovia",BikePoints_381,13,1
"Farm Street, Mayfair",BikePoints_382,14,1
"Frith Street, Soho",BikePoints_383,14,1
"Marloes Road, Kensington",BikePoints_384,2,13
"Moor Street, Soho",BikePoints_386,12,1
"Fire Brigade Pier, Vauxhall",BikePoints_387,15,13
"Southampton Street, Strand",BikePoints_388,13,0
"Upper Grosvenor Street, Mayfair",BikePoints_389,4,14
"Buxton Street 1, Shoreditch",BikePoints_390,23,18
"Clifford Street, Mayfair",BikePoints_391,16,1
"Imperial College, Knightsbridge",BikePoints_392,12,8
"Snow Hill, Farringdon",BikePoints_393,15,0
"Aberdeen Place, St. John's Wood",BikePoints_394,3,15
"Cadogan Gardens, Chelsea",BikePoints_395,13,0
"Shouldham Street, Marylebone",BikePoints_396,1,15
"Devonshire Terrace, Bayswater",BikePoints_397,1,14
"Holland Park, Kensington",BikePoints_398,3,27
"Brick Lane Market, Shoreditch",BikePoints_399,10,13
"George Street, Marylebone",BikePoints_400,17,10
"Columbia Road, Shoreditch",BikePoints_401,12,12
"Penfold Street, Marylebone",BikePoints_402,0,14
"George Place Mews, Marylebone",BikePoints_403,6,10
"Palace Gate, Kensington Gardens",BikePoints_404,1,11
"Gloucester Road Station, South Kensington",BikePoints_405,5,8
"Sun Street, Liverpool Street",BikePoints_408,21,0
"Strata, Elephant & Castle",BikePoints_409,26,13
"Edgware Road Station, Marylebone",BikePoints_410,21,41
"Rotherhithe Roundabout, Rotherhithe",BikePoints_411,7,12
"Cleaver Street, Kennington",BikePoints_412,5,12
"Chelsea Bridge, Pimlico",BikePoints_419,10,3
"Southwark Station 2, Southwark",BikePoints_421,20,24
"Eaton Square (South), Belgravia",BikePoints_423,28,3
"Ebury Bridge, Pimlico",BikePoints_424,6,23
"Camley Street, Camden Town",BikePoints_425,2,16
"Vincent Street, Pimlico",BikePoints_426,0,17
"Cheapside, Bank",BikePoints_427,40,2
"Exhibition Road, Knightsbridge",BikePoints_428,16,3
"South Parade, Chelsea",BikePoints_430,13,5
"Crinan Street, King's Cross",BikePoints_431,17,3
"Exhibition Road Museums 1, South Kensington",BikePoints_432,8,3
"Wren Street, Holborn",BikePoints_433,3,30
"Kennington Station, Kennington",BikePoints_435,1,22
"Red Lion Street, Holborn",BikePoints_436,34,1
"Vauxhall Walk, Vauxhall",BikePoints_437,17,8
"Killick Street, King's Cross",BikePoints_439,6,16
"Kennington Oval, Oval",BikePoints_440,27,5
"Sail Street, Vauxhall",BikePoints_441,1,23
"Walmer Road, Avondale",BikePoints_442,5,19
"Philpot Street, Whitechapel",BikePoints_443,13,15
"Bethnal Green Garden, Bethnal Green",BikePoints_444,16,7
"Cheshire Street, Bethnal Green",BikePoints_445,1,26
"York Hall, Bethnal Green",BikePoints_446,6,20
"Jubilee Crescent, Cubitt Town",BikePoints_447,34,17
"Fisherman's Walk West, Canary Wharf",BikePoints_448,34,0
"Shadwell Station, Shadwell",BikePoints_449,14,19
"Jubilee Street, Stepney",BikePoints_450,12,16
"Hermitage Court, Wapping",BikePoints_451,3,13
"St. Katharine's Way, Tower",BikePoints_452,14,8
"Napier Avenue, Millwall",BikePoints_454,14,5
"East Ferry Road, Cubitt Town",BikePoints_455,13,3
"Parkway, Camden Town",BikePoints_456,32,1
"Castlehaven Road, Camden Town",BikePoints_457,12,16
"Wapping Lane, Wapping",BikePoints_458,13,13
"Gunmakers Lane, Old Ford",BikePoints_459,2,14
"Burdett Road, Mile End",BikePoints_460,17,15
"Aston Street, Stepney",BikePoints_461,3,23
"Bonny Street, Camden Town",BikePoints_462,27,16
"Thurtle Road, Haggerston",BikePoints_463,2,20
"St. Mary & St. Michael Church, Stepney",BikePoints_464,19,6
"Pitfield Street North,Hoxton",BikePoints_465,6,21
"Whiston Road, Haggerston",BikePoints_466,1,19
"Southern Grove, Bow",BikePoints_467,2,15
"Cantrell Road, Bow",BikePoints_468,17,6
"Lindfield Street, Poplar",BikePoints_469,27,14
"Mostyn Grove, Bow",BikePoints_470,11,32
"Hewison Street, Old Ford",BikePoints_471,3,14
"Malmesbury Road, Bow",BikePoints_472,16,4
"Millharbour, Millwall",BikePoints_473,0,18
"Gascoyne Road, Victoria Park",BikePoints_474,11,8
"Lightermans Road, Millwall",BikePoints_475,0,27
"Stebondale Street, Cubitt Town",BikePoints_476,11,18
"Spindrift Avenue, Millwall",BikePoints_477,33,2
"Stepney Green Station, Stepney",BikePoints_478,20,1
"Pott Street, Bethnal Green",BikePoints_479,19,0
"Flamborough Street, Limehouse",BikePoints_480,10,11
"Saunders Ness Road, Cubitt Town",BikePoints_481,0,33
"Exhibition Road Museums 2, South Kensington",BikePoints_482,8,6
"Albert Gardens, Stepney",BikePoints_483,0,30
"Bromley High Street, Bow",BikePoints_484,19,5
"Old Ford Road, Bethnal Green",BikePoints_485,1,23
"Granby Street, Shoreditch",BikePoints_486,2,33
"Canton Street, Poplar",BikePoints_487,16,7
"Reardon Street, Wapping",BikePoints_488,3,18
"Christian Street, Whitechapel",BikePoints_489,5,29
"Pennington Street, Wapping",BikePoints_490,26,16
"Queen Mary's, Mile End",BikePoints_491,16,27
"Maplin Street, Mile End",BikePoints_492,20,18
"South Quay East, Canary Wharf",BikePoints_494,18,18
"Bow Church Station, Bow",BikePoints_495,17,21
"Devons Road, Bow",BikePoints_496,33,6
"Merchant Street, Bow",BikePoints_497,22,5
"Bow Road Station, Bow",BikePoints_498,6,36
"Furze Green, Bow",BikePoints_499,14,17
"Ansell House, Stepney",BikePoints_500,9,31
"Cephas Street, Bethnal Green",BikePoints_501,7,17
"Bonner Gate, Victoria Park",BikePoints_502,4,15
"Cleveland Way, Stepney",BikePoints_503,7,29
"St. John's Park, Cubitt Town",BikePoints_504,0,29
"Ackroyd Drive, Bow",BikePoints_505,10,18
"Bell Lane, Liverpool Street",BikePoints_506,18,4
"Clarkson Street, Bethnal Green",BikePoints_507,6,24
"Fournier Street, Whitechapel",BikePoints_508,17,0
"Fore Street Avenue, Guildhall",BikePoints_509,16,3
"Westferry DLR, Limehouse",BikePoints_510,40,0
"Sutton Street, Shadwell",BikePoints_511,18,13
"Pritchard's Road, Bethnal Green",BikePoints_512,29,0
"Watney Market, Stepney",BikePoints_513,36,15
"Portman Square, Marylebone",BikePoints_514,13,4
"Russell Gardens, Olympia",BikePoints_515,6,17
"Chrisp Street Market, Poplar",BikePoints_516,11,7
"Ford Road, Old Ford",BikePoints_517,7,11
"Antill Road, Mile End",BikePoints_518,5,24
"Teviot Street, Poplar",BikePoints_519,24,8
"Bancroft Road, Bethnal Green",BikePoints_520,3,17
"Driffield Road, Old Ford",BikePoints_521,1,18
"Clinton Road, Mile End",BikePoints_522,6,30
"Langdon Park, Poplar",BikePoints_523,13,10
"Lancaster Gate , Bayswater",BikePoints_524,1,28
